help | Shows the main menu
harold <"Text 1"> <"Text 2"> | Hide the Pain Harold
hipster <"Text 1"> <"Text 2"> | Hipster Barista
icanhas <"Text 1"> <"Text 2"> | I Can Has Cheezburger?
imsorry <"Text 1"> <"Text 2"> | Oh, I'm Sorry, I Thought This Was America
inigo <"Text 1"> <"Text 2"> | Inigo Montoya
interesting <"Text 1"> <"Text 2"> | The Most Interesting Man in the World
ive <"Text 1"> <"Text 2"> | Jony Ive Redesigns Things
iw <"Text 1"> <"Text 2"> | Insanity Wolf
jd <"Text 1"> <"Text 2"> | Joseph Ducreux / Archaic Rap
jetpack <"Text 1"> <"Text 2"> | Nothing To Do Here
joker <"Text 1"> <"Text 2"> | It's Simple, Kill the Batman
jw <"Text 1"> <"Text 2"> | Probably Not a Good Idea
keanu <"Text 1"> <"Text 2"> | Conspiracy Keanu
kermit <"Text 1"> <"Text 2"> | But That's None of My Business
kombucha <"Text 1"> <"Text 2"> | Kombucha Girl
leo <"Text 1"> <"Text 2"> | Leo Strutting
live <"Text 1"> <"Text 2"> | Do It Live!
ll <"Text 1"> <"Text 2"> | Laughing Lizard
lrv <"Text 1"> <"Text 2"> | Laundry Room Viking
mb <"Text 1"> <"Text 2"> | Member Berries
michaelscott <"Text 1"> <"Text 2"> | Michael Scott No God No
millers <"Text 1"> <"Text 2"> | You Guys Are Getting Paid?
minikeanu <"Text 1"> <"Text 2"> | Mini Keanu Reeves
mmm <"Text 1"> <"Text 2"> | Minor Mistake Marvin
money <"Text 1"> <"Text 2"> | Shut Up and Take My Money!
mordor <"Text 1"> <"Text 2"> | One Does Not Simply Walk into Mordor
morpheus <"Text 1"> <"Text 2"> | Matrix Morpheus
mw <"Text 1"> <"Text 2"> | I Guarantee It
nice <"Text 1"> <"Text 2"> | So I Got That Goin' For Me, Which is Nice
noidea <"Text 1"> <"Text 2"> | I Have No Idea What I'm Doing
ntot <"Text 1"> <"Text 2"> | No Take, Only Throw
oag <"Text 1"> <"Text 2"> | Overly Attached Girlfriend
officespace <"Text 1"> <"Text 2"> | That Would Be Great
older <"Text 1"> <"Text 2"> | An Older Code Sir, But It Checks Out
oprah <"Text 1"> <"Text 2"> | Oprah You Get a Car
patrick <"Text 1"> <"Text 2"> | Push it somewhere else Patrick
persian <"Text 1"> <"Text 2"> | Persian Cat Room Guardian
philosoraptor <"Text 1"> <"Text 2"> | Philosoraptor
pigeon <"Text 1"> <"Text 2"> | Is This a Pigeon?
ptj <"Text 1"> <"Text 2"> | Phoebe Teaching Joey
puffin <"Text 1"> <"Text 2"> | Unpopular opinion puffin
red <"Text 1"> <"Text 2"> | Oh, Is That What We're Going to Do Today?
regret <"Text 1"> <"Text 2"> | I Immediately Regret This Decision!
remembers <"Text 1"> <"Text 2"> | Pepperidge Farm Remembers
rollsafe <"Text 1"> <"Text 2"> | Roll Safe
sadbiden <"Text 1"> <"Text 2"> | Sad Joe Biden
sadboehner <"Text 1"> <"Text 2"> | Sad John Boehner
sadbush <"Text 1"> <"Text 2"> | Sad George Bush
sadclinton <"Text 1"> <"Text 2"> | Sad Bill Clinton
sadobama <"Text 1"> <"Text 2"> | Sad Barack Obama
sadfrog <"Text 1"> <"Text 2"> | Sad Frog / Feels Bad Man
saltbae <"Text 1"> <"Text 2"> | Salt Bae
sarcasticbear <"Text 1"> <"Text 2"> | Sarcastic Bear
sb <"Text 1"> <"Text 2"> | Scumbag Brain
scc <"Text 1"> <"Text 2"> | Sudden Clarity Clarence
sf <"Text 1"> <"Text 2"> | Sealed Fate
sk <"Text 1"> <"Text 2"> | Skeptical Third World Kid
ski <"Text 1"> <"Text 2"> | Super Cool Ski Instructor
snek <"Text 1"> <"Text 2"> | Skeptical Snake
soa <"Text 1"> <"Text 2"> | Seal of Approval
sohappy <"Text 1"> <"Text 2"> | I Would Be So Happy
sohot <"Text 1"> <"Text 2"> | So Hot Right Now
soupnazi <"Text 1"> <"Text 2"> | No Soup for You / Soup Nazi
sparta <"Text 1"> <"Text 2"> | This is Sparta!
spiderman <"Text 1"> <"Text 2"> | Spider-Man Pointing at Spider-Man
spongebob <"Text 1"> <"Text 2"> | Mocking Spongebob
ss <"Text 1"> <"Text 2"> | Scumbag Steve
stew <"Text 1"> <"Text 2"> | Baby, You've Got a Stew Going
stopit <"Text 1"> <"Text 2"> | Stop It, Get Some Help
success <"Text 1"> <"Text 2"> | Success Kid
tenguy <"Text 1"> <"Text 2"> | 10 Guy
toohigh <"Text 1"> <"Text 2"> | The Rent Is Too Damn High
tried <"Text 1"> <"Text 2"> | At Least You Tried
trump <"Text 1"> <"Text 2"> | Donald Trump
ugandanknuck <"Text 1"> <"Text 2"> | Ugandan Knuckles
whatyear <"Text 1"> <"Text 2"> | What Year Is It?
winter <"Text 1"> <"Text 2"> | Winter is coming
wkh <"Text 1"> <"Text 2"> | Who Killed Hannibal?
wonka <"Text 1"> <"Text 2"> | Condescending Wonka
xy <"Text 1"> <"Text 2"> | X all the Y
yallgot <"Text 1"> <"Text 2"> | Y'all Got Any More of Them
yodawg <"Text 1"> <"Text 2"> | Xzibit Yo Dawg
yuno <"Text 1"> <"Text 2"> | Y U NO Guy
zerowing <"Text 1"> <"Text 2"> | All Your Base Are Belong to Us
checktokens | Checks the tokens from Tokens.txt and removes invalid ones
spamwebhook <Webhook URL> | Spams a webhook
raidjoin <Invite Code> | Lets all tokens join the server
raidleave <Server ID> | Lets all tokens leave the server
raidmessage <Channel ID> <Amount> <Message> | Lets all tokens write messages in a channel
raidfriendrequest <User ID> | Lets all tokens send friend requests to the user
raidremovefriend <User ID> | Lets all tokens remove the user as friend
raidnick <Guild ID> <Nickname> | Sets the nickname of all tokens on a server
raidreact <Channel ID> <Message ID> <Emoji> | Lets all tokens react on a message with an emoji
raidproxyjoin <Invite Code> | Lets all tokens join the server
raidproxyleave <Server ID> | Lets all tokens leave the server
raidproxymessage <Channel ID> <Amount> <Message> | Lets all tokens write messages in a channel
raidproxyfriendrequest <User ID> | Lets all tokens send friend requests to the user
raidproxyremovefriend <User ID> | Lets all tokens remove the user as friend
raidproxynick <Guild ID> <Nickname> | Sets the nickname of all tokens on a server
raidproxyreact <Channel ID> <Message ID> <Emoji> | Lets all tokens react on a message with an emoji
zoc | Latest price of 01coin
paxghalf | Latest price of 0.5X Long PAX Gold Token
sxphalf | Latest price of 0.5X Long Swipe Token
zcn | Latest price of 0chain
zrx | Latest price of 0x
zxc | Latest price of 0xcert
tshp | Latest price of 12Ships
1inch | Latest price of 1inch
1gold | Latest price of 1irstGold
1wo | Latest price of 1World
bvol | Latest price of Bitcoin Volatility Token
hedge | Latest price of 1X Short Bitcoin Token
ibvol | Latest price of Inverse Bitcoin Volatility Token
2based | Latest price of 2Based Finance
2give | Latest price of 2GIVE
2key | Latest price of 2key.network
altbull | Latest price of 3X Long Altcoin Index Token
balbull | Latest price of 3X Long Balancer Token
bchbull | Latest price of 3X Long Bitcoin Cash Token
bsvbull | Latest price of 3X Long Bitcoin SV Token
bull | Latest price of 3X Long Bitcoin Token
btmxbull | Latest price of 3X Long BitMax Token Token
bnbbull | Latest price of 3X Long BNB Token
adabull | Latest price of 3X Long Cardano Token
linkbull | Latest price of 3X Long Chainlink Token
compbull | Latest price of 3X Long Compound Token Token
cusdtbull | Latest price of 3X Long Compound USDT Token
defibull | Latest price of 3X Long DeFi Index Token
eosbull | Latest price of 3X Long EOS Token
ethbull | Latest price of 3X Long Ethereum Token
exchbull | Latest price of 3X Long Exchange Token Index Token
kncbull | Latest price of 3X Long Kyber Network Token
ltcbull | Latest price of 3X Long Litecoin Token
xlmbull | Latest price of 3X Long Stellar Token
trxbull | Latest price of 3X Long TRX Token
vetbull | Latest price of 3X Long VeChain Token
xrpbull | Latest price of 3X Long XRP Token
altbear | Latest price of 3X Short Altcoin Index Token
balbear | Latest price of 3X Short Balancer Token
bchbear | Latest price of 3X Short Bitcoin Cash Token
bsvbear | Latest price of 3X Short Bitcoin SV Token
btmxbear | Latest price of 3X Short BitMax Token Token
bnbbear | Latest price of 3X Short BNB Token
adabear | Latest price of 3X Short Cardano Token
linkbear | Latest price of 3X Short Chainlink Token
compbear | Latest price of 3X Short Compound Token Token
cusdtbear | Latest price of 3X Short Compound USDT Token
defibear | Latest price of 3X Short DeFi Index Token
eosbear | Latest price of 3X Short EOS Token
ethbear | Latest price of 3X Short Ethereum Token
exchbear | Latest price of 3X Short Exchange Token Index Token
kncbear | Latest price of 3X Short Kyber Network Token
ltcbear | Latest price of 3X Short Litecoin Token
xlmbear | Latest price of 3X Short Stellar Token
trxbear | Latest price of 3X Short TRX Token
vetbear | Latest price of 3X Short VeChain Token
xrpbear | Latest price of 3X Short XRP Token
404 | Latest price of 404
42 | Latest price of 42-coin
4art | Latest price of 4ART Coin
kwatt | Latest price of 4New
7e | Latest price of 7ELEVEN
exe | Latest price of 8X8 Protocol
aave | Latest price of Aave
adai | Latest price of Aave DAI
ghst | Latest price of Aavegotchi
aren | Latest price of Aave REN
aab | Latest price of AAX Token
abc | Latest price of ABC Chain
at | Latest price of ABCC Token
abs | Latest price of Absolute
act | Latest price of Achain
acm | Latest price of AC Milan Fan Token
ac | Latest price of ACoconut
acoin | Latest price of Acoin
actn | Latest price of Action Coin
acu | Latest price of Acuity
aac | Latest price of Acute Angle Cloud
adm | Latest price of ADAMANT Messenger
adb | Latest price of adbank
add | Latest price of Add.xyz (NEW)
adl | Latest price of Adelphoi
adx | Latest price of AdEx
adi | Latest price of Aditus
ads | Latest price of Adshares
adt | Latest price of adToken
aib | Latest price of Advanced Integrated Blocks
adz | Latest price of Adzcoin
ags | Latest price of Aegis
aeon | Latest price of Aeon
aergo | Latest price of Aergo
arnx | Latest price of Aeron
aet | Latest price of AEROTOKEN
aer | Latest price of Aeryus
ae | Latest price of Aeternity
aevo | Latest price of Always Evolving
att | Latest price of Africa Trading Chain
agvc | Latest price of AgaveCoin
aget | Latest price of Agetron
agrs | Latest price of Agoras Token
dlt | Latest price of Agrello
aat | Latest price of Agricultural Trade Chain
aht | Latest price of AhaToken
ait | Latest price of AICHAIN
aid | Latest price of AidCoin
aidoc | Latest price of AI Doctor
adk | Latest price of Aidos Kuneen
aidus | Latest price of AIDUS Token
ali | Latest price of AiLink Token
aion | Latest price of Aion
aipe | Latest price of AI Prediction Ecosystem
abl | Latest price of Airbloc
airx | Latest price of Aircoins
ast | Latest price of AirSwap
agt | Latest price of AISF
akt | Latest price of Akash Network
akn | Latest price of Akoin
aka | Latest price of Akroma
akro | Latest price of Akropolis
adel | Latest price of Delphi
atp | Latest price of Alaya
sds | Latest price of Alchemint
alcx | Latest price of Alchemix
ach | Latest price of Alchemy Pay
aleph | Latest price of Aleph.im
alex | Latest price of Alex
algo | Latest price of Algorand
alg | Latest price of Algory
abbc | Latest price of ABBC
alis | Latest price of ALIS
allbi | Latest price of ALL BEST ICO
afo | Latest price of All For One Business
albt | Latest price of AllianceBlock
acd | Latest price of Alliance Cargo Direct
all | Latest price of Alliance Fan Token
alv | Latest price of Allive
me | Latest price of All.me
aly | Latest price of Ally
aloha | Latest price of Aloha
alpa | Latest price of Alpaca
alp | Latest price of ALP Coin
acat | Latest price of Alphacat
apc | Latest price of Alpha Coin
dex | Latest price of AlphaDex
alpha | Latest price of Alpha Finance
ank | Latest price of AlphaLink
aqt | Latest price of Alpha Quark Token
xlq | Latest price of ALQO
alc | Latest price of AlrightCoin
alt | Latest price of AltEstate Token
aln | Latest price of Aluna
amb | Latest price of Ambrosus
ame | Latest price of Amepay
amio | Latest price of Amino Network
amis | Latest price of AMIS
amo | Latest price of AMO Coin
amn | Latest price of Amon
amon | Latest price of AmonD
veo | Latest price of Amoveo
ampl | Latest price of Ampleforth
aapx | Latest price of AMPnet
amp | Latest price of Amp
anct | Latest price of Anchor
anw | Latest price of Anchor Neural World Token
adc | Latest price of Android chain
afu | Latest price of Animal Friends United
ani | Latest price of Animecoin
anj | Latest price of Aragon Court
ankr | Latest price of Ankr
anon | Latest price of ANON
amc | Latest price of Anonymous Coin
xamp | Latest price of Antiample
matter | Latest price of AntiMatter
any | Latest price of ANYONE
ape | Latest price of APEcoin
cpx | Latest price of Apex Network
aph | Latest price of APHolding Coin
api3 | Latest price of API3
apis | Latest price of APIS Coin
apix | Latest price of APIX
apm | Latest price of apM Coin
apl | Latest price of Apollo
xap | Latest price of Apollon Network
appc | Latest price of AppCoins
apx | Latest price of Appics
apy | Latest price of APY.Finance
aqua | Latest price of Aqua
arco | Latest price of AquariusCoin
ant | Latest price of Aragon
araw | Latest price of ARAW Token
abx | Latest price of Arbidex
arb | Latest price of ARbit Coin
arct | Latest price of ArbitrageCT
abt | Latest price of Arcblock
arcx | Latest price of ARC Governance
arch | Latest price of Archer DAO Governance Token
arx | Latest price of ARCS
arc | Latest price of Advanced Technology Coin
ardx | Latest price of ArdCoin
ardr | Latest price of Ardor
arepa | Latest price of Arepacoin
arg | Latest price of Argentum
aria20 | Latest price of Arianee
ar | Latest price of Arix
ark | Latest price of Ark
armor | Latest price of ARMOR
arnxm | Latest price of Armor NXM
arm | Latest price of Armours
arpa | Latest price of ARPA Chain
arq | Latest price of ArQmA
aby | Latest price of ArtByte
aya | Latest price of Aryacoin
asn | Latest price of Ascension
xas | Latest price of Asch
acc | Latest price of Asian-African Capital Chain
asp | Latest price of Aspire
asr | Latest price of AS Roma Fan Token
atx | Latest price of Aston
astr | Latest price of ASTR Coin
astro | Latest price of Astro
asa | Latest price of Asura
atri | Latest price of Atari
atb | Latest price of ATBCoin
atd | Latest price of A2DAO
ath | Latest price of Atheios
atl | Latest price of Atlant
atmos | Latest price of Atmos
atn | Latest price of ATN
awc | Latest price of Atomic Wallet Coin
ag8 | Latest price of ATROMG8
auction | Latest price of Bounce
auc | Latest price of Auctus
audio | Latest price of Audius
rep | Latest price of Augur
aunit | Latest price of Aunit
are | Latest price of Aurei
auscm | Latest price of Auric Network
aur | Latest price of Aurix
aoa | Latest price of Aurora
idex | Latest price of IDEX
awg | Latest price of AurusGOLD
auto | Latest price of Auto
niox | Latest price of Autonio
avax | Latest price of Avalanche
aval | Latest price of Avaluse
avt | Latest price of Aventus
axe | Latest price of Axe
axel | Latest price of AXEL
axiav3 | Latest price of Axia
axs | Latest price of Axie Infinity
axn | Latest price of Axion
axis | Latest price of Axis DeFi
axpr | Latest price of aXpire
az | Latest price of Azbit
azuki | Latest price of Azuki
b20 | Latest price of B20
b21 | Latest price of B21
b2b | Latest price of B2Bcoin
baas | Latest price of BaaSid
bax | Latest price of BABB
bpc | Latest price of BackPacker Coin
bak | Latest price of BaconCoin
badger | Latest price of Badger DAO
brc | Latest price of Baer Chain
bake | Latest price of BakeryToken
bal | Latest price of Balancer
bsp | Latest price of BallSwap
balpha | Latest price of bAlpha
bnana | Latest price of Chimpion
banca | Latest price of Banca
bnt | Latest price of Bancor Network Token
band | Latest price of Band Protocol
bcr | Latest price of Bankcoin Reserve
bnk | Latest price of Bankera
bkx | Latest price of BANKEX
vlt | Latest price of Bankroll Vault
bao | Latest price of Bao Finance
bazt | Latest price of Baz Token
bks | Latest price of Barkis Network
bond | Latest price of BarnBridge
bart | Latest price of BarterTrade
base | Latest price of Base Protocol
basic | Latest price of BASIC
bat | Latest price of Basic Attention Token
basid | Latest price of Basid Coin
bcs | Latest price of Basis Coin Share
bsd | Latest price of Basis Dollar
bags | Latest price of Basis Gold Share (Heco)
bast | Latest price of Bast
bta | Latest price of Bata
bva | Latest price of Bavala
bbs | Latest price of BBSCoin
bcat | Latest price of BCAT
bcb | Latest price of BCB Blockchain
bcdt | Latest price of BCdiploma-EvidenZ
bcv | Latest price of BitCapitalVendor
beam | Latest price of BEAM
bfi | Latest price of Bearn.fi
btzc | Latest price of BeatzCoin
chat | Latest price of BeeChat
bee | Latest price of BEE Coin
bifi | Latest price of Beefy.Finance
bkbt | Latest price of BeeKan / Beenews
beet | Latest price of Beetle Coin
btr | Latest price of BeeTR
bela | Latest price of Belacoin
bdx | Latest price of Beldex
bel | Latest price of Bella Protocol
bnp | Latest price of BenePit
bsc | Latest price of Benscoin
bwf | Latest price of Beowulf
bern | Latest price of BERNcash
bec | Latest price of Betherchip
bepro | Latest price of BEPRO Network
btrm | Latest price of Betrium
bynd | Latest price of Beyondcoin
bznt | Latest price of Bezant
bez | Latest price of Bezop
bgg | Latest price of Bgogo Token
bbp | Latest price of BiblePay
bix | Latest price of Bibox Token
bid | Latest price of Bidao
bdp | Latest price of BidiPass
bfc | Latest price of Bifrost
bbgc | Latest price of BigBang Game
bbo | Latest price of Bigbom
bbi | Latest price of BigBoys Industry
biki | Latest price of BIKI
bia | Latest price of Bilaxy Token
tryb | Latest price of BiLira
blry | Latest price of BillaryCoin
blt | Latest price of Billetcoin
bhc | Latest price of BillionHappiness
btcb | Latest price of Binance Bitcoin
bnb | Latest price of Binance Coin
bidr | Latest price of BIDR
bkrw | Latest price of Binance KRW
busd | Latest price of Binance USD
bvnd | Latest price of Binance VND
bntx | Latest price of Bintex Futures
bio | Latest price of BioCrypt
btrn | Latest price of Biotron
bis | Latest price of Bismuth
bpx | Latest price of Bispex
btb | Latest price of Bitball
bay | Latest price of BitBay
bbr | Latest price of Bitberry Token
bbk | Latest price of BitBlocks
bbt | Latest price of BitBoost
bcna | Latest price of BitCanna
bceo | Latest price of bitCEO
bchc | Latest price of BitCherry
btdx | Latest price of Bitcloud
bpro | Latest price of BitCloud Pro
ben | Latest price of BitCoen
b2g | Latest price of Bitcoiin
btc | Latest price of Bitcoin
btc2 | Latest price of Bitcoin 2
btca | Latest price of Bitcoin Anonymous
bca | Latest price of Bitcoin Atom
boss | Latest price of BitcoinBOSS
cdy | Latest price of Bitcoin Candy
bch | Latest price of Bitcoin Cash
bcha | Latest price of Bitcoin Cash ABC
bsv | Latest price of Bitcoin SV
bxc | Latest price of Bitcoin Classic
bc | Latest price of Bitcoin Confidential
bcz | Latest price of Bitcoin CZ
bcd | Latest price of Bitcoin Diamond
bcf | Latest price of Bitcoin Fast
btcf | Latest price of Bitcoin Final
god | Latest price of Bitcoin God
btg | Latest price of Bitcoin Gold
bhd | Latest price of Bitcoin HD
bth | Latest price of Bitcoin Hot
xbi | Latest price of Bitcoin Incognito
bci | Latest price of Bitcoin Interest
bltg | Latest price of Block-Logic
btcn | Latest price of BitcoiNote
xbc | Latest price of Bitcoin Plus
btcp | Latest price of Bitcoin Private
btcred | Latest price of Bitcoin Red
xrc | Latest price of xRhodium
btcs | Latest price of Bitcoin Scrypt
bsov | Latest price of BitcoinSoV
btct | Latest price of BitcoinToken
btcv | Latest price of BitcoinV
bcx | Latest price of BitcoinX
btcz | Latest price of BitcoinZ
bm | Latest price of Bitcomo
btx | Latest price of BitCore
bic | Latest price of Bitcrex Coin
btcr | Latest price of Bitcurate
bdg | Latest price of BitDegree
csno | Latest price of BitDice
dns | Latest price of BitDNS
xbx | Latest price of Bitex Global XBX Coin
bfx | Latest price of Bitfex
bf | Latest price of Bitforex Token
bxt | Latest price of Bitfxt Coin
bft | Latest price of Bitget DeFi Token
xbg | Latest price of BitGrin
plat | Latest price of BitGuild PLAT
bt | Latest price of BitHash Token
bih | Latest price of BitHostCoin
stu | Latest price of bitJob
kam | Latest price of BitKAM
bmx | Latest price of BitMart Token
btnt | Latest price of BitNautic
btnyx | Latest price of BitOnyx Token
best | Latest price of Bitpanda Ecosystem Token
bpt | Latest price of Bitpayer Token
bro | Latest price of Bitradio
rntb | Latest price of BitRent
bts | Latest price of BitShares
btu | Latest price of Bitsou
xbs | Latest price of BitStake
bst | Latest price of Bitsten Token
mat | Latest price of Matka
bttr | Latest price of BitTiger
btt | Latest price of BitTorrent
biut | Latest price of Bit Trust System
tube | Latest price of BitTube
bwt | Latest price of Bittwatt
but | Latest price of BitUP Token
btv | Latest price of Bitvote
btw | Latest price of BitWhite
zny | Latest price of BitZeny
bz | Latest price of BitZ Token
bixb | Latest price of BixB Coin
bizz | Latest price of BIZZCOIN
bkk | Latest price of BKEX Chain
blk | Latest price of BlackCoin
hzt | Latest price of Black Diamond Rating
bdt | Latest price of BlackDragon Token
bmc | Latest price of Blackmoon Crypto
blank | Latest price of Blank
blast | Latest price of BLAST
bstx | Latest price of Blastx
bles | Latest price of Blind Boxes
blink | Latest price of BLink
xbp | Latest price of BlitzPredict
bly | Latest price of Blocery
ary | Latest price of Block Array
bcdn | Latest price of BlockCDN
bcug | Latest price of Blockchain Cuties Universe Governance
bxa | Latest price of Blockchain Exchange Alliance
bhp | Latest price of Blockchain of Hash Power
bqt | Latest price of Blockchain Quotations Index Token
bloc | Latest price of Blockcloud
clout | Latest price of BLOCKCLOUT
emb | Latest price of Overline Emblem
bmh | Latest price of BlockMesh
bux | Latest price of BUX Token
tix | Latest price of Blocktix
vee | Latest price of BLOCKv
bloody | Latest price of Bloody Token
blct | Latest price of Bloomzed Loyalty Club Ticket
cdt | Latest price of Blox
bep | Latest price of Blucon
blue | Latest price of Blue Protocol
blu | Latest price of Bluecoin
bwx | Latest price of Blue Whale
blz | Latest price of Bluzelle
btmx | Latest price of Bitmax Token
bmt | Latest price of BMCHAIN token
bnc | Latest price of Bnoincoin
bnsd | Latest price of BNSD Finance
bns | Latest price of BNS Token
bnx | Latest price of BTCNEXT Coin
boa | Latest price of BOA
bob | Latest price of Bob's Repair
bog | Latest price of Bogged Finance
boli | Latest price of Bolivarcoin
bolt | Latest price of Bolt
boltt | Latest price of BolttCoin
btd | Latest price of Bolt Dollar
bomb | Latest price of BOMB
bondly | Latest price of Bondly
bnf | Latest price of BonFi
bonk | Latest price of BONK Token
bono | Latest price of Bonorum
bon | Latest price of Bonpay
boob | Latest price of BooBank
boom | Latest price of Boom Token
bost | Latest price of BoostCoin
bora | Latest price of BORA
bor | Latest price of BoringDAO
bos | Latest price of BOScoin
bto | Latest price of Bottos
botx | Latest price of BOTXCOIN
bot | Latest price of Bounce [old]
bnty | Latest price of Bounty0x
bouts | Latest price of BoutsPro
box | Latest price of BOX Token
boxx | Latest price of Blockparty
bqtx | Latest price of BQT
brzx | Latest price of Braziliex Token
brd | Latest price of Bread
brze | Latest price of Breezecoin
bmi | Latest price of Bridge Mutual
brg | Latest price of Bridge Oracle
brdg | Latest price of Bridge Protocol
nor | Latest price of Noir
brat | Latest price of BROTHER
brz | Latest price of Brazilian Digital Token
bsys | Latest price of BSYS
btcl | Latest price of BTC Lite
btcm | Latest price of BTCMoon
btcst | Latest price of BTC Standard Hashrate Token
bte | Latest price of BTEcoin
btf | Latest price of Bitcoin Faith
btse | Latest price of BTSE Token
bubo | Latest price of Budbo
bud | Latest price of Buddy
cbx | Latest price of Bullion
blc | Latest price of BullionsChain
bu | Latest price of BUMO
bun | Latest price of Bunnycoin
buy | Latest price of Burency
burger | Latest price of Burger Swap
burst | Latest price of Burst
bcac | Latest price of Business Credit Alliance Chain
bfly | Latest price of Butterfly Protocol
gldy | Latest price of Buzzshow
bwb | Latest price of Bit World Token
gbyte | Latest price of Obyte
bcn | Latest price of Bytecoin
btm | Latest price of Bytom
byts | Latest price of Bytus
bzrx | Latest price of bZx Protocol
cach | Latest price of Cachecoin
cgt | Latest price of CACHE Gold
cas | Latest price of Cactus Finance
cxp | Latest price of Caixa Pay
cf | Latest price of Californium
clo | Latest price of Callisto Network
camp | Latest price of Camp
cad | Latest price of Candy Protocol
cann | Latest price of CannabisCoin
can | Latest price of CanYaCoin
cxc | Latest price of CAPITAL X CELL
capp | Latest price of Cappasity
cps | Latest price of Capricoin
carbon | Latest price of Carboncoin
cut | Latest price of Carbon Utility Token
ada | Latest price of Cardano
card | Latest price of Cardstack
care | Latest price of Carebit
cxo | Latest price of CargoX
crt | Latest price of Carrot Finance
cre | Latest price of Carry
ctsi | Latest price of Cartesi
cv | Latest price of carVertical
cbc | Latest price of Cashbery Coin
csc | Latest price of Casinocoin
csp | Latest price of Caspian
ctt | Latest price of Castweet
catt | Latest price of Catex Token
bree | Latest price of CBDAO
cbe | Latest price of The Chain of Business Entertainment
cc | Latest price of CC
cco | Latest price of Ccore
cdai | Latest price of cDAI
ceek | Latest price of CEEK Smart VR Token
celr | Latest price of Celer Network
cell | Latest price of Cellframe
celo | Latest price of Celo
cusd | Latest price of Celo Dollar
cel | Latest price of Celsius Network
xcf | Latest price of Cenfura Token
cntr | Latest price of Centaur
cent | Latest price of CENTERCOIN
cennz | Latest price of Centrality
cns | Latest price of Centric
cnt | Latest price of Centurion
xce | Latest price of Cerium
ctk | Latest price of CertiK
chads | Latest price of CHADS VC
chc | Latest price of Chaincoin
chain | Latest price of Chain Games
cgg | Latest price of Chain Guardians
chx | Latest price of WeOwn
link | Latest price of Chainlink
cpay | Latest price of Chainpay
pcx | Latest price of ChainX
chan | Latest price of ChanCoin
cag | Latest price of Change
now | Latest price of Now Token
cha | Latest price of Chaucha
cheese | Latest price of CHEESE
chess | Latest price of ChessCoin
kfc | Latest price of Chicken
chi | Latest price of Chi Gastoken
chz | Latest price of Chiliz
chonk | Latest price of Chonk
chow | Latest price of Chow Chow Finance
chr | Latest price of Chromia
day | Latest price of Chronologic
cnd | Latest price of Cindicator
cir | Latest price of CircleSwap
coval | Latest price of Circuits of Value
ctl | Latest price of Citadel
cvc | Latest price of Civic
cvt | Latest price of Civitas Protocol
clam | Latest price of Clams
cct | Latest price of Clap Clap Token
sct | Latest price of Clash Token
clb | Latest price of CLBcoin
clr | Latest price of Clear Coin
cti | Latest price of ClinTex CTi
cloak | Latest price of Cloakcoin
clv | Latest price of Clover
cai | Latest price of Club Atletico Independiente Fan Token
club | Latest price of Clubcoin
cnn | Latest price of Content Neutrality Network
cnns | Latest price of CNNS
cnyt | Latest price of CNY Tether
coal | Latest price of Coalculus
cbk | Latest price of Cobak Token
cob | Latest price of Cobinhood
coc | Latest price of cocktailbar.finance
cocos | Latest price of COCOS BCX
codeo | Latest price of CODEO TOKEN
cnx | Latest price of Cofinex
cofi | Latest price of CoFiX
cft | Latest price of CoinBene Future Token
cim | Latest price of COINCOME
cdl | Latest price of CoinDeal Token
cet | Latest price of CoinEx Token
amlt | Latest price of AMLT Network
cht | Latest price of CoinHe Token
cl | Latest price of Coinlancer
lion | Latest price of CoinLion
meet | Latest price of CoinMeet
coi | Latest price of Coinnec
chp | Latest price of CoinPoker
cnb | Latest price of Coinsbit Token
cen | Latest price of Coinsuper Ecosystem Network
orox | Latest price of Cointorox
cnus | Latest price of CoinUs
co2 | Latest price of Collective
colx | Latest price of ColossusXT
comp | Latest price of Compound Coin
cp3r | Latest price of Compounder
ceth | Latest price of cETH
cusdc | Latest price of cUSDC
cusdt | Latest price of cUSDT
cms | Latest price of COMSA
ccx | Latest price of Conceal
cvp | Latest price of PowerPool Concentrated Voting Power
ava | Latest price of Travala.com
cfx | Latest price of Conflux Token
cnct | Latest price of Connect
cjt | Latest price of ConnectJob
cntm | Latest price of Connectome
ecell | Latest price of Consensus Cell Network
csm | Latest price of Consentium
dag | Latest price of Constellation
cos | Latest price of Contentos
cvnt | Latest price of Content Value Network
ctcn | Latest price of Contracoin
coral | Latest price of Coral Swap
crc | Latest price of Core-Chip
cor | Latest price of Coreto
corx | Latest price of CorionX
ctxc | Latest price of Cortex
cosm | Latest price of Cosmo Coin
atom | Latest price of Cosmos
cot | Latest price of Cosplay Token
coti | Latest price of COTI
cou | Latest price of Couchain
cca | Latest price of Counos Coin
xcp | Latest price of Counterparty
cova | Latest price of Cova Unity
cover | Latest price of Cover Protocol
cov | Latest price of Covesting
cpc | Latest price of CPChain
cpt | Latest price of CPT
crave | Latest price of Crave
crdt | Latest price of CRDT
crm | Latest price of Creamcoin
cream | Latest price of Cream
crea | Latest price of CREA
credit | Latest price of TerraCredit
ctc | Latest price of Creditcoin
creed | Latest price of Creed Finance
creva | Latest price of Crevacoin
